@W: FA406 |Environment variable QUARTUS_ROOTDIR not set. Cannot determine PAR version.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams1 because it is equivalent to instance sob_inst.lb0_rams1. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams3 because it is equivalent to instance sob_inst.lb0_rams3. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams4 because it is equivalent to instance sob_inst.lb0_rams4. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams5 because it is equivalent to instance sob_inst.lb0_rams5. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams6 because it is equivalent to instance sob_inst.lb0_rams6. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams7 because it is equivalent to instance sob_inst.lb0_rams7. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams8 because it is equivalent to instance sob_inst.lb0_rams8. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams9 because it is equivalent to instance sob_inst.lb0_rams9. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams10 because it is equivalent to instance sob_inst.lb0_rams10. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams11 because it is equivalent to instance sob_inst.lb0_rams11. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams12 because it is equivalent to instance sob_inst.lb0_rams12. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams15 because it is equivalent to instance sob_inst.lb0_rams15. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams16 because it is equivalent to instance sob_inst.lb0_rams16. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams17 because it is equivalent to instance sob_inst.lb0_rams17. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams18 because it is equivalent to instance sob_inst.lb0_rams18. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams19 because it is equivalent to instance sob_inst.lb0_rams19. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams20 because it is equivalent to instance sob_inst.lb0_rams20. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams21 because it is equivalent to instance sob_inst.lb0_rams21. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams23 because it is equivalent to instance sob_inst.lb0_rams23. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams27 because it is equivalent to instance sob_inst.lb0_rams27. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams28 because it is equivalent to instance sob_inst.lb0_rams28. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams29 because it is equivalent to instance sob_inst.lb0_rams29. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams31 because it is equivalent to instance sob_inst.lb0_rams31. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams2 because it is equivalent to instance sob_inst.lb0_rams2. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams13 because it is equivalent to instance sob_inst.lb0_rams13. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams14 because it is equivalent to instance sob_inst.lb0_rams14. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: MT420 |Found inferred clock edge_detect_top|clock with period 11.42ns. Please declare a user-defined clock on port clock.
